DeCodigo,DeNombre,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
8,Atlántico,1960,1961,12,12,13803786.1428571,19098268.7142857,5294482.5714286,201158541.285714,16763211.7738095,16745452.75,1523725.92350419,13803786.1428571,13803786.1428571,15970450.3214286,17993145.6785714,2022695.35714285
97,Vaupés,1960,1961,12,12,12513576.3402299,17501097.0942529,4987520.754023,180017884.004598,15001490.3337165,14994830.5494253,1427701.81050636,12513576.3402299,12513576.3402299,13952740.8517241,16011441.0942529,2058700.2425287
20,Cesar,1960,1961,12,12,12546543.956044,18019267.8241758,5472723.8681318,189683189.483517,15806932.4569597,15900742.6538461,1402122.76967086,12546543.956044,12546543.956044,15458665.510989,16616304.6868132,1157639.1758242
54,Norte de Santander,1960,1961,12,12,13177117.011236,17508136.1685393,4331019.1573033,188931621.348315,15744301.7790262,15739302.5730337,1175764.03494354,13177117.011236,13177117.011236,15130861.7247191,16511359.6910113,1380497.96629215
68,Santander,1960,1961,12,12,13375655.664,17789165.56,4413509.896,188237328.644,15686444.0536667,15591291.328,1125037.86197015,13375655.664,13375655.664,15122636.816,16619769.514,1497132.698
27,Chocó,1960,1962,12,12,9797337.16030534,12215234.3104326,2417897.15012726,131454635.806616,10954552.9838846,10957482.697201,631223.510636801,9797337.16030534,9797337.16030534,10477085.086514,11385562.5801526,908477.49363865
44,La Guajira,1960,1962,12,12,14707603.6050955,18462257.3503185,3754653.745223,201063265.146497,16755272.0955414,17115007.7515923,1242995.06612859,14707603.6050955,14707603.6050955,15603378.1656051,17803249.5859872,2199871.42038215
47,Magdalena,1960,1962,12,12,13757790.5139665,18095439.3854749,4337648.8715084,186685651.910614,15557137.6592179,15304780.2458101,1257862.62872559,13757790.5139665,13757790.5139665,14580807.3743016,16633534.1005586,2052726.726257
70,Sucre,1960,1962,12,12,13202390.183908,17799163.6551724,4596773.4712644,180496827.402299,15041402.2835249,14743169.770115,1274952.42419075,13202390.183908,13202390.183908,14062855.7701149,15966982.7241379,1904126.954023
86,Putumayo,1960,1962,12,12,10253947.1730769,17449566.4711538,7195619.2980769,174241393.336538,14520116.1113782,15531558.8990384,2364232.1177413,10253947.1730769,10253947.1730769,12428274.1442307,16326114.4807693,3897840.3365385
81,Arauca,1960,1962,12,12,11361833.7313433,17451667.5024876,6089833.7711443,178842515.930348,14903542.9941957,15850265.7064677,2028454.43771605,11361833.7313433,11361833.7313433,13235076.0895522,16188822.4477612,2953746.35820895
23,Córdoba,1960,1962,12,12,13059707.1980198,16321020.9207921,3261313.7227723,171348944.356436,14279078.6963696,14244270.0594059,902270.166275958,13059707.1980198,13059707.1980198,13489958.8019802,14759236.5990099,1269277.7970297
91,Amazonas,1960,1962,12,12,10453517.1370787,17664107.9303371,7210590.7932584,176028037.161798,14669003.0968165,15552605.3606742,2321312.84424151,10453517.1370787,10453517.1370787,12498402.7101124,16469688.2584269,3971285.5483146
94,Guainía,1960,1962,12,12,10271531.2736661,17753835.1015491,7482303.827883,172996272.196214,14416356.0163511,14767390.0929432,2473753.41874716,10271531.2736661,10271531.2736661,12360413.1187607,16528652.595525,4168239.47676425
97,Vaupés,1960,1962,12,12,10477302.6390805,17510901.3563218,7033598.7172413,175895691.466667,14657974.2888889,15502042.6229885,2409418.13479075,10477302.6390805,10477302.6390805,12530427.3034483,16771246.6252874,4240819.32183905
76,Valle del Cauca,1960,1962,12,12,10228876.245614,13000448.1637427,2771571.9181287,139296352.959064,11608029.4132554,11530489.9005848,775646.416408519,10228876.245614,10228876.245614,11025856.865497,12272805.1286549,1246948.2631579
19,Cauca,1960,1962,12,12,11601731.3992095,15275996.6403162,3674265.2411067,155636910.513834,12969742.5428195,12770490.3913043,898045.618746244,11601731.3992095,11601731.3992095,12540149.9051383,13109581.6245059,569431.719367601
95,Guaviare,1960,1962,12,12,10821341.860262,18461651.7729258,7640309.9126638,177492320.131004,14791026.6775837,15105938.3842794,2605006.42145503,10821341.860262,10821341.860262,12465010.8515284,17146274.2598253,4681263.40829695
5,Antioquia,1960,1962,12,12,13118220.074364,16113366.109589,2995146.035225,174293740.215264,14524478.351272,14296799.0195694,877324.311504416,13118220.074364,13118220.074364,14085124.4911937,15273913.0587085,1188788.5675147
85,Casanare,1960,1962,12,12,12159720.9106145,18351565.7932961,6191844.8826816,189063235.776536,15755269.6480447,16133213.3044693,2021274.69227287,12159720.9106145,12159720.9106145,14356142.0921788,17352195.178771,2996053.08659215
73,Tolima,1960,1962,12,12,13249426.9346734,18340750.361809,5091323.4271356,183392929.547739,15282744.1289782,15110624.0351759,1321374.06952624,13249426.9346734,13249426.9346734,14292362.6683417,15975750.8492462,1683388.1809045
66,Risaralda,1960,1962,12,12,11119956.9285714,14755210.2142857,3635253.2857143,152585667.642857,12715472.3035714,12549835.2857143,1014561.82371191,11119956.9285714,11119956.9285714,11970750.1785715,13293666.75,1322916.57142855
63,Quindío,1960,1962,12,12,12626458.1333333,17348106.1333333,4721648,172438426.533333,14369868.8777778,14296102.2666667,1323979.73233149,12626458.1333333,12626458.1333333,13349206.4,14896794.2666667,1547587.86666665
50,Meta,1960,1962,12,12,11851264.7646177,18554309.826087,6703045.0614693,187383255.316342,15615271.2763618,16059685.3328336,2203656.17714488,11851264.7646177,11851264.7646177,13775685.9565217,17757119.6671664,3981433.71064465
41,Huila,1960,1962,12,12,12323790.6933333,18517349.6,6193558.9066667,182093190.773333,15174432.5644444,15370577.7,1652621.57044427,12323790.6933333,12323790.6933333,13792084.0266666,16293965.7533333,2501881.7266667
